Time [s],Nd-140 [atoms],Pm-149 [atoms],Sm-149 [atoms]
0,0,0,0
0.0001,100759566811136.,167772160.000000,3096182784.00000
0.0001003223213633022,101084335964160.,167772160.000000,2889220096.00000
0.0001006456816372167,101410153693184.,167772160.000000,2717908992.00000
0.00010097008417037457,101737019998208.,167772160.000000,2850816000.00000
0.0001012955323221999,102064940122112.,167772160.000000,3019636736.00000
0.00010162202946294493,102393917210624.,201326592.000000,2687565824.00000
0.00010194957897372525,102723954409472.,201326592.000000,2928541696.00000
0.00010227818424655412,103055055912960.,167772160.000000,2668953600.00000
0.00010260784868437834,103387224866816.,167772160.000000,2714107904.00000
0.00010293857570111289,103720463368192.,167772160.000000,2795700224.00000
0.00010327036872167647,104054776659968.,201326592.000000,2645557248.00000
0.00010360323118202738,104390167887872.,201326592.000000,3068919808.00000
0.00010393716652919842,104726639149056.,201326592.000000,2992242688.00000
0.00010427217822133291,105064195686400.,167772160.000000,2952593408.00000
0.0001046082697277208,105402840645632.,167772160.000000,2950037504.00000
0.00010494544452883393,105742576123904.,167772160.000000,2984640512.00000
0.00010528370611636281,106083407364096.,201326592.000000,2788098048.00000
0.00010562305799325216,106425336463360.,167772160.000000,2897412096.00000
0.00010596350367373738,106768367616000.,201326592.000000,2775908352.00000
0.00010630504668338134,107112505016320.,167772160.000000,2960457728.00000
0.00010664769055911024,107457751810048.,201326592.000000,2646016000.00000
0.00010699143884925058,107804111142912.,201326592.000000,2906259456.00000
0.00010733629511356612,108151586160640.,167772160.000000,2936209408.00000
0.00010768226292329424,108500182106112.,201326592.000000,2735865856.00000
0.00010802934586118314,108849901076480.,201326592.000000,2842230784.00000
0.00010837754752152936,109200748314624.,167772160.000000,2986999808.00000
0.00010872687151021412,109552725917696.,167772160.000000,2901868544.00000
0.00010907732144474167,109905838080000.,201326592.000000,2855403520.00000
0.00010942890095427589,110260087947264.,201326592.000000,2847735808.00000
0.00010978161367967821,110615479713792.,201326592.000000,2878996480.00000
0.00011013546327354571,110972017573888.,167772160.000000,2949251072.00000
0.00011049045340024818,111329703624704.,167772160.000000,3058696192.00000
0.00011084658773596653,111688543109120.,167772160.000000,2939027456.00000
0.00011120386996873107,112048539172864.,167772160.000000,2858680320.00000
0.00011156230379845909,112409694961664.,201326592.000000,3086352384.00000
0.0001119218929369935,112772015718400.,167772160.000000,2816868352.00000
0.00011228264110814165,113135504588800.,167772160.000000,3124035584.00000
0.000112644552047713,113500163670016.,167772160.000000,2934177792.00000
0.00011300762950355886,113865999253504.,167772160.000000,3052929024.00000
0.00011337187723561023,114233013436416.,201326592.000000,2943352832.00000
0.00011373729901591722,114601210413056.,201326592.000000,2874081280.00000
0.00011410389862868842,114970595426304.,201326592.000000,2576875520.00000
0.00011447167987032937,115341170573312.,201326592.000000,3125477376.00000
0.00011484064654948222,115712938999808.,167772160.000000,2909470720.00000
0.00011521080248706557,116085906997248.,167772160.000000,3002793984.00000
0.00011558215151631317,116460077711360.,201326592.000000,2868641792.00000
0.00011595469748281455,116835453239296.,167772160.000000,3044016128.00000
0.00011632844424455411,117212037775360.,201326592.000000,2723741696.00000
0.00011670339567195127,117589837611008.,201326592.000000,2713255936.00000
0.00011707955564790107,117968854843392.,201326592.000000,2744320000.00000
0.00011745692806781354,118349093666816.,167772160.000000,2816933888.00000
0.00011783551683965447,118730558275584.,201326592.000000,2662924288.00000
0.00011821532588398624,119113251815424.,167772160.000000,2819227648.00000
0.00011859635913400751,119497179529216.,167772160.000000,3017605120.00000
0.00011897862053559502,119882344562688.,201326592.000000,2989686784.00000
0.00011936211404734351,120268751110144.,167772160.000000,2735603712.00000
0.00011974684364060711,120656403365888.,167772160.000000,2792488960.00000
0.00012013281329954085,121045303427072.,201326592.000000,3160276992.00000
0.00012052002702114123,121435458633728.,167772160.000000,3033989120.00000
0.00012090848881528782,121826871083008.,201326592.000000,2950561792.00000
0.00012129820270478535,122219544969216.,201326592.000000,2910126080.00000
0.00012168917272540447,122613485535232.,167772160.000000,2912813056.00000
0.00012208140292592403,123008694878208.,201326592.000000,2690318336.00000
0.00012247489736817333,123405178241024.,167772160.000000,2779643904.00000
0.00012286966012707326,123802939817984.,201326592.000000,2912550912.00000
0.0001232656952906796,124201982754816.,167772160.000000,2820669440.00000
