I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33065645716134 @ x: -2.9125355900753713 y: -2.899582722203129
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33225225148463 @ x: -2.9035498216155564 y: -2.905672765842575
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33187561355876 @ x: -2.8986831090817855 y: -2.90522655768515
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33123574675261 @ x: -2.906226526066459 y: -2.896034061078322
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33228453182934 @ x: -2.904374969752739 y: -2.9049491500816513
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33038070306958 @ x: -2.893342678631937 y: -2.906582760945163
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33218590874523 @ x: -2.90220072342842 y: -2.9061092585709423
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33195320768208 @ x: -2.8989439921615934 y: -2.904448223019002
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33210425926393 @ x: -2.9059026412721867 y: -2.9062753188528747
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.3322332564818 @ x: -2.905701955487009 y: -2.9025474983389357
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33082595267395 @ x: -2.89542880955703 y: -2.8988884998590447
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.3322157354001 @ x: -2.9052711367249695 y: -2.905449193231312
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33213359595064 @ x: -2.90190764952432 y: -2.900566721315372
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33166452530114 @ x: -2.909737342681767 y: -2.9036092870083987
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.3322383373601 @ x: -2.9013782321260404 y: -2.9026746459951314
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33231199028535 @ x: -2.9045058914568225 y: -2.9031119702380614
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33122800229096 @ x: -2.895708258390548 y: -2.901881275454292
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33151752898807 @ x: -2.9046481448988306 y: -2.9102958646556853
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33226536779951 @ x: -2.902813391241911 y: -2.9017168817675643
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33040857183039 @ x: -2.913660958923491 y: -2.9064131212925703
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33209797052663 @ x: -2.9071173002376383 y: -2.902730936591894
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33223791625858 @ x: -2.902185312176677 y: -2.905427774489282
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33219723475638 @ x: -2.9062072462557675 y: -2.904312987883019
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33201159479474 @ x: -2.9077636153363864 y: -2.904295842879275
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33152430753357 @ x: -2.9103152754597383 y: -2.9042993877520717
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33220214478318 @ x: -2.9047784731713353 y: -2.9010986521923177
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.32763903492413 @ x: -2.887490709982301 y: -2.8996116110430736
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33223493023638 @ x: -2.9012418851327526 y: -2.9041080633824814
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.332325932653 @ x: -2.9030944100016476 y: -2.9031827416325964
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33104561986656 @ x: -2.912144485327751 y: -2.9034642567206004
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33209794479548 @ x: -2.9063603462571086 y: -2.905879570894454
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33121064326254 @ x: -2.9113277196569065 y: -2.901554715382323
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33226871041525 @ x: -2.905043759568061 y: -2.9046937333327785
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.3284495150731 @ x: -2.905149825887942 y: -2.888600793798146
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.32823716230169 @ x: -2.918877932750311 y: -2.9031772340926065
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33139361702585 @ x: -2.902441921603436 y: -2.9108081256550857
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33223549675301 @ x: -2.905865027139254 y: -2.9038639786201195
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33229541219862 @ x: -2.9034902673860374 y: -2.904975816024037
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33193072715032 @ x: -2.8995718932009806 y: -2.9062703667022074
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33232520541127 @ x: -2.9041064881407754 y: -2.903709824888261
I: 100, Pop: 200, P_CS: 0.7, P_M: 0.1, P_S: 0.3, Result: -78.33231834211082 @ x: -2.902712622108825 y: -2.9032492755276507
