"reynolds-rfile"
"Iteration" "reynolds"
("Iteration" "reynolds")
1 37316.12574996114
2 37590.94812169065
3 38282.08125131139
4 39173.72269414389
5 40096.99238681338
6 40923.92556348522
7 41568.38331004028
8 41980.59362495046
9 42142.04333517937
10 42058.69239670958
11 41757.65105282437
12 41285.36318867581
13 40705.32022836243
14 40091.9811689026
15 39521.53997688794
16 39061.31005284852
17 38759.69412276626
18 38640.16814748437
19 38699.61687105618
20 38909.54622150949
21 39224.74541934436
22 39590.34720561231
23 39953.11420112981
24 40267.19839712902
25 40499.83213942927
26 40633.66828031241
27 40665.54578794222
28 40605.3168479437
29 40473.85498516427
30 40297.75170873308
31 40105.86622520357
32 39926.26279762392
33 39781.7789895834
34 39687.50955468628
35 39649.66607523264
