"reynolds-rfile"
"Iteration" "reynolds"
("Iteration" "reynolds")
1 37316.12574996114
2 37590.94812169065
3 38282.08125131139
4 39173.72269414388
5 40096.99238681338
6 40923.92556348522
7 41568.38331004028
8 41980.59362495045
9 42142.04333517936
10 42058.69239670958
11 41757.65105282437
12 41285.36318867581
13 40705.32022836241
14 40091.9811689026
15 39521.53997688795
16 39061.31005284852
17 38759.69412276626
18 38640.16814748439
19 38699.61687105618
20 38909.54622150949
21 39224.74541934436
22 39590.3472056123
23 39953.1142011298
24 40267.19839712902
25 40499.83213942927
26 40633.66828031241
27 40665.54578794223
28 40605.31684794371
29 40473.85498516428
30 40297.75170873309
31 40105.86622520358
32 39926.26279762393
33 39781.77898958341
34 39687.50955468628
35 39649.66607523264
36 39666.13883216718
37 39726.6893314089
38 39815.97314173178
39 39916.73715907067
40 40012.40070884668
41 40089.58537606791
42 40139.75826853231
43 40160.19317906655
44 40151.99905965015
45 40120.77040567503
46 40074.72405686018
47 40023.43861463931
48 39975.84704441618
49 39938.67863252157
50 39916.00728137216
51 39909.18618389691
52 39916.78336933947
53 39935.06184148941
54 39959.1663260011
55 39984.17694647388
56 40005.86170076545
57 40021.13217532737
58 40028.46733468383
59 40028.05126567267
60 40021.38791994806
61 40010.70580011253
62 39998.49487820954
63 39987.05325447067
64 39978.38720335795
65 39973.50047784458
66 39972.63358652932
67 39974.97321388324
68 39979.63433744405
69 39985.32440421425
70 39990.79542394191
71 39995.06871652442
72 39997.58466332706
73 39998.2295574158
74 39997.24028115891
75 39995.11311729315
76 39992.47354656754
77 39989.9421138804
78 39987.98276881245
79 39986.84663974497
80 39986.58250659113
81 39987.07308029194
82 39988.07113719325
83 39989.25975223361
84 39990.35867315237
85 39991.1724339743
86 39991.60351539197
87 39991.63681762831
88 39991.34561973571
89 39990.86748526957
90 39990.34216302285
91 39989.88013902106
92 39989.55245114982
93 39989.42232399579
94 39989.44921658297
95 39989.6075645774
96 39989.84156553863
97 39990.07761131765
98 39990.2658504653
99 39990.37840137695
100 39990.41127654734
