x, y
0.12121212121212466, 4.187772925764192
1.3333333333333313, 4.707423580786026
2.7878787878787836, 4.3406113537117905
3.3939393939393936, 4.676855895196506
4.484848484848486, 4.3406113537117905
6.424242424242419, 5.074235807860262
7.63636363636364, 5.135371179039301
8.363636363636367, 4.951965065502183
9.696969696969695, 5.318777292576419
10.545454545454543, 5.685589519650654
12.242424242424239, 5.930131004366812
14.66666666666666, 6.419213973799127
16.96969696969697, 6.9082969432314405
20.242424242424242, 6.449781659388646
22.060606060606048, 5.930131004366812
25.454545454545453, 4.890829694323144
28.363636363636356, 5.441048034934497
32.12121212121211, 4.585152838427947
35.272727272727266, 3.943231441048035
37.45454545454546, 3.1179039301310043
38.42424242424242, 2.506550218340611
39.51515151515151, 1.3755458515283843
42.181818181818166, 0.0611353711790393
