y-direction [mm],Streamwise velocity [m/s]
0.447400074,11.52139465
0.955259827,12.73851037
1.94679535,13.95562609
3.978234361,15.36291614
5.985489943,16.21236129
7.956469828,16.79556267
9.963724303,17.03645025
