y-direction [mm],Streamwise velocity [m/s]
0.442330349,12.03797394
0.98454223,13.29113911
1.983352969,14.5443037
3.196195282,15.5316455
3.980975755,15.97468368
5.921521887,16.98734155
7.947681694,17.6455698
9.916766153,18.07594937
11.00118991,18.17721539
11.9286568,18.32911413
12.92746819,18.32911413
